siparis_id,musteri_adi,urun,kategori,adet,birim_fiyat,tarih
34,Zeynep Arslan,Mouse,Aksesuar,2,308.29,2025-08-13
35,Ali Celik,Mouse,Aksesuar,1,1242.77,2025-02-23
36,Ali Celik,Kulaklik,Aksesuar,2,565.71,2025-04-18
37,Ali Celik,Monitor,Elektronik,4,447.01,2025-01-27
38,Mehmet Demir,Telefon,Elektronik,3,1286.85,2025-05-15
39,Ayse Kaya,Kulaklik,Aksesuar,1,1495.4,2025-03-18
40,Ahmet Yilmaz,Laptop,Elektronik,2,1677.46,2025-01-21
41,Mustafa Yildiz,Monitor,Elektronik,5,459.65,2025-03-21
42,Ahmet Yilmaz,Klavye,Aksesuar,4,1735.98,2025-06-20
43,Mehmet Demir,Tablet,Elektronik,3,1614.36,2025-02-25
44,Zeynep Arslan,Tablet,Elektronik,4,1750.73,2025-04-27
45,Ali Celik,Klavye,Aksesuar,1,96.15,2025-09-18
46,Ayse Kaya,Tablet,Elektronik,1,1375.06,2025-05-14
47,Mustafa Yildiz,Kulaklik,Aksesuar,5,1182.15,2025-06-10
48,Fatma Sahin,Tablet,Elektronik,5,1232.11,2025-08-12
49,Zeynep Arslan,Laptop,Elektronik,2,1063.84,2025-06-19
50,Ali Celik,Monitor,Elektronik,5,1343.61,2025-06-17
51,Mehmet Demir,Tablet,Elektronik,4,1409.56,2025-06-04
52,Zeynep Arslan,Tablet,Elektronik,4,,2025-08-15
53,Ayse Kaya,Klavye,Aksesuar,2,1046.79,2025-06-21
54,Fatma Sahin,Telefon,Elektronik,2,1645.93,2025-01-24
55,Mustafa Yildiz,Klavye,Aksesuar,4,1968.68,2025-10-22
56,Ahmet Yilmaz,Klavye,Aksesuar,2,1450.77,2025-02-24
57,Ahmet Yilmaz,Tablet,Elektronik,4,476.74,2025-03-04
58,Zeynep Arslan,Sarj Aleti,Aksesuar,5,310.01,2025-08-15
59,Elif Aydin,Tablet,Elektronik,4,1669.61,2025-05-07
60,Elif Aydin,Mouse,Aksesuar,3,1543.34,2025-05-27
61,Mehmet Demir,Klavye,Aksesuar,2,579.84,2025-03-20
62,Ahmet Yilmaz,Klavye,Aksesuar,4,175.25,2025-08-04
63,Mustafa Yildiz,Tablet,Elektronik,5,1814.44,2025-06-30
64,Fatma Sahin,Mouse,Aksesuar,4,1519.28,2025-05-20
65,Mehmet Demir,Tablet,Elektronik,4,997.0,2025-03-07
66,Mustafa Yildiz,Laptop,Elektronik,1,1818.51,2025-08-25
67,Zeynep Arslan,Kulaklik,Aksesuar,3,148.06,2025-07-14
68,,Mouse,Aksesuar,1,1516.42,2025-10-04
69,Ahmet Yilmaz,Laptop,Elektronik,1,1999.82,2025-04-13
70,Fatma Sahin,Laptop,Elektronik,1,1261.6,2025-05-12
71,Mehmet Demir,Monitor,Elektronik,1,377.19,2025-02-25
72,Mustafa Yildiz,Laptop,Elektronik,4,1861.33,2025-04-12
73,Ayse Kaya,Telefon,Elektronik,3,1204.59,2025-10-17
74,,Laptop,Elektronik,5,727.05,2025-08-04
75,Mehmet Demir,Sarj Aleti,Aksesuar,4,255.8,2025-09-25
76,Mustafa Yildiz,Mouse,Aksesuar,4,1251.03,2025-05-18
77,Fatma Sahin,Monitor,Elektronik,4,1710.84,2025-10-19
78,Fatma Sahin,Tablet,Elektronik,4,705.97,2025-05-13
79,Ahmet Yilmaz,Monitor,Elektronik,5,595.33,2025-04-08
80,Elif Aydin,Telefon,Elektronik,2,520.64,2025-09-09
81,Ali Celik,Sarj Aleti,Aksesuar,2,1596.22,2025-07-08
82,Zeynep Arslan,Sarj Aleti,Aksesuar,5,1129.27,2025-08-21
83,Ayse Kaya,Mouse,Aksesuar,3,647.91,2025-04-05
84,Ali Celik,Klavye,Aksesuar,5,471.95,2025-04-10
85,Mehmet Demir,Mouse,Aksesuar,-1,493.59,2025-01-28
86,Ayse Kaya,Mouse,Aksesuar,4,1409.96,2025-10-21
87,Ali Celik,Mouse,Aksesuar,1,965.32,2025-09-02
88,Mehmet Demir,Telefon,Elektronik,1,1653.13,2025-10-16
89,Fatma Sahin,Mouse,Aksesuar,4,216.1,2025-07-14
90,Ali Celik,Sarj Aleti,Aksesuar,4,1821.58,2025-01-31
91,Mehmet Demir,Telefon,Elektronik,1,1897.8,2025-10-10
92,,Telefon,Elektronik,4,355.24,2025-05-28
93,Fatma Sahin,Mouse,Aksesuar,3,1420.83,2025-10-06
94,Ahmet Yilmaz,Klavye,Aksesuar,1,1312.89,2025-06-07
95,Ali Celik,Mouse,Aksesuar,4,906.35,2025-09-10
96,,Sarj Aleti,Aksesuar,3,,2025-04-28
97,Mehmet Demir,Laptop,Elektronik,1,1999.17,2025-08-15
98,Ayse Kaya,Mouse,Aksesuar,4,403.9,2025-07-29
99,Elif Aydin,Monitor,Elektronik,4,676.06,2025-07-25
100,Ahmet Yilmaz,Laptop,Elektronik,4,936.91,2025-10-05
101,Elif Aydin,Sarj Aleti,Aksesuar,4,855.83,2025-04-15
102,,Mouse,Aksesuar,4,1120.98,2025-05-03
103,Ayse Kaya,Kulaklik,Aksesuar,2,,2025-03-02
104,Mustafa Yildiz,Kulaklik,Aksesuar,3,1021.83,2025-08-30
105,Mehmet Demir,Klavye,Aksesuar,5,940.73,2025-05-22
106,Ali Celik,Tablet,Elektronik,1,712.76,2025-10-28
107,Mustafa Yildiz,Sarj Aleti,Aksesuar,3,1737.26,2025-06-14
108,Ahmet Yilmaz,Klavye,Aksesuar,4,1962.51,2025-08-31
109,Elif Aydin,Tablet,Elektronik,2,802.85,2025-03-06
110,,Monitor,Elektronik,5,1745.92,2025-03-15
111,Zeynep Arslan,Tablet,Elektronik,3,1748.32,2025-07-23
112,Zeynep Arslan,Telefon,Elektronik,4,1710.94,2025-09-07
113,Fatma Sahin,Laptop,Elektronik,3,1254.05,2025-08-11
114,Ali Celik,Telefon,Elektronik,2,1532.72,2025-01-24
115,Fatma Sahin,Monitor,Elektronik,2,1602.48,2025-10-17
116,Fatma Sahin,Kulaklik,Aksesuar,5,381.47,2025-10-26
117,Elif Aydin,Kulaklik,Aksesuar,1,502.77,2025-10-07
118,Mustafa Yildiz,Kulaklik,Aksesuar,3,194.03,2025-08-22
119,Mustafa Yildiz,Mouse,Aksesuar,2,438.47,2025-10-22
120,,Mouse,Aksesuar,4,1985.75,2025-01-26
121,Zeynep Arslan,Sarj Aleti,Aksesuar,2,1674.04,2025-04-08
122,Ayse Kaya,Mouse,Aksesuar,2,1371.64,2025-01-21
123,Ayse Kaya,Mouse,Aksesuar,2,,2025-06-17
124,Ali Celik,Tablet,Elektronik,3,392.5,2025-05-12
125,Elif Aydin,Sarj Aleti,Aksesuar,1,1936.4,2025-03-14
126,Zeynep Arslan,Klavye,Aksesuar,5,1727.27,2025-07-22
127,Mustafa Yildiz,Laptop,Elektronik,3,565.69,2025-07-10
128,Zeynep Arslan,Telefon,Elektronik,5,1365.93,2025-04-24
129,Ayse Kaya,Telefon,Elektronik,4,1289.04,2025-01-20
130,Mehmet Demir,Mouse,Aksesuar,5,1992.06,2025-07-09
131,Elif Aydin,Tablet,Elektronik,1,1195.31,2025-05-24
132,Zeynep Arslan,Laptop,Elektronik,2,1396.05,2025-07-08
133,Ayse Kaya,Monitor,Elektronik,4,168.07,2025-01-11
134,Fatma Sahin,Laptop,Elektronik,5,1584.25,2025-10-11
135,Ahmet Yilmaz,Klavye,Aksesuar,2,1193.45,2025-03-16
136,,Kulaklik,Aksesuar,1,1103.42,2025-05-02
137,Ayse Kaya,Monitor,Elektronik,4,80.77,2025-09-01
138,Fatma Sahin,Sarj Aleti,Aksesuar,5,1567.13,2025-01-23
139,Mustafa Yildiz,Mouse,Aksesuar,4,943.18,2025-02-25
140,Mehmet Demir,Sarj Aleti,Aksesuar,3,1439.18,2025-05-21
141,Mustafa Yildiz,Monitor,Elektronik,5,792.76,2025-02-28
142,Mustafa Yildiz,Klavye,Aksesuar,4,888.64,2025-02-18
143,Elif Aydin,Monitor,Elektronik,2,882.19,2025-02-13
144,Ahmet Yilmaz,Telefon,Elektronik,2,892.16,2025-10-15
145,Ahmet Yilmaz,Monitor,Elektronik,4,1356.53,2025-06-09
146,Fatma Sahin,Monitor,Elektronik,4,252.02,2025-06-29
147,Ahmet Yilmaz,Monitor,Elektronik,4,274.03,2025-05-17
148,,Laptop,Elektronik,3,401.81,2025-03-15
149,Fatma Sahin,Tablet,Elektronik,1,185.69,2025-08-21
150,Ayse Kaya,Monitor,Elektronik,5,356.95,2025-03-21
151,Mustafa Yildiz,Kulaklik,Aksesuar,4,,2025-08-15
152,Ayse Kaya,Tablet,Elektronik,4,582.68,2025-09-07
153,Fatma Sahin,Mouse,Aksesuar,1,138.56,2025-04-19
154,Mustafa Yildiz,Kulaklik,Aksesuar,4,1540.11,2025-07-14
155,Mustafa Yildiz,Klavye,Aksesuar,1,1025.51,2025-01-22
156,Mustafa Yildiz,Tablet,Elektronik,5,86.55,2025-08-02
157,Elif Aydin,Mouse,Aksesuar,5,,2025-07-05
158,Ayse Kaya,Telefon,Elektronik,4,901.59,2025-06-08
159,Fatma Sahin,Monitor,Elektronik,1,482.07,2025-06-28
160,Ayse Kaya,Monitor,Elektronik,2,1468.39,2025-04-12
161,Elif Aydin,Kulaklik,Aksesuar,2,1224.68,2025-10-16
162,Zeynep Arslan,Sarj Aleti,Aksesuar,5,1378.21,2025-06-11
163,Ahmet Yilmaz,Kulaklik,Aksesuar,3,907.54,2025-02-07
164,Ayse Kaya,Mouse,Aksesuar,3,,2025-02-16
165,Elif Aydin,Tablet,Elektronik,1,952.29,2025-10-20
166,Elif Aydin,Klavye,Aksesuar,1,676.98,2025-06-25
167,Elif Aydin,Telefon,Elektronik,4,1033.87,2025-03-23
168,Ahmet Yilmaz,Monitor,Elektronik,3,777.06,2025-06-21
169,Mehmet Demir,Telefon,Elektronik,3,692.9,2025-10-26
170,Mehmet Demir,Kulaklik,Aksesuar,4,1837.66,2025-02-13
171,Ayse Kaya,Mouse,Aksesuar,2,1139.9,2025-08-05
172,Elif Aydin,Monitor,Elektronik,3,85.55,2025-03-12
173,Ahmet Yilmaz,Kulaklik,Aksesuar,5,200.47,2025-03-09
174,Mehmet Demir,Tablet,Elektronik,5,350.79,2025-01-23
175,Ali Celik,Tablet,Elektronik,5,760.38,2025-08-18
176,Fatma Sahin,Klavye,Aksesuar,4,1091.32,2025-10-20
177,Mustafa Yildiz,Sarj Aleti,Aksesuar,5,950.28,2025-04-13
178,Ayse Kaya,Kulaklik,Aksesuar,3,1752.35,2025-09-22
179,Mehmet Demir,Telefon,Elektronik,5,605.87,2025-02-16
180,Ahmet Yilmaz,Klavye,Aksesuar,4,1642.57,2025-07-11
181,Ayse Kaya,Klavye,Aksesuar,3,803.02,2025-06-21
182,Elif Aydin,Kulaklik,Aksesuar,2,318.32,2025-01-03
183,Mustafa Yildiz,Telefon,Elektronik,5,87.06,2025-05-28
184,Elif Aydin,Klavye,Aksesuar,5,,2025-09-13
185,,Laptop,Elektronik,3,1282.31,2025-06-30
186,Zeynep Arslan,Klavye,Aksesuar,5,1162.79,2025-09-27
187,Ali Celik,Laptop,Elektronik,3,811.38,2025-07-02
188,Zeynep Arslan,Telefon,Elektronik,5,722.36,2025-06-30
189,Elif Aydin,Monitor,Elektronik,4,1636.34,2025-03-11
190,Ahmet Yilmaz,Telefon,Elektronik,2,1446.29,2025-01-22
191,Elif Aydin,Monitor,Elektronik,5,1870.07,2025-04-08
192,Ali Celik,Mouse,Aksesuar,3,746.1,2025-07-08
193,Zeynep Arslan,Tablet,Elektronik,4,1784.5,2025-09-12
194,Mustafa Yildiz,Sarj Aleti,Aksesuar,1,766.33,2025-04-03
195,Elif Aydin,Mouse,Aksesuar,3,676.36,2025-08-07
196,Mustafa Yildiz,Kulaklik,Aksesuar,3,1395.04,2025-01-30
197,Ahmet Yilmaz,Telefon,Elektronik,2,1358.81,2025-08-13
198,Mustafa Yildiz,Laptop,Elektronik,3,296.15,2025-01-17
199,Mehmet Demir,Kulaklik,Aksesuar,1,1374.17,2025-07-23
200,Elif Aydin,Monitor,Elektronik,2,1316.64,2025-10-15
201,Ali Celik,Telefon,Elektronik,5,560.46,2025-09-09
202,Ayse Kaya,Klavye,Aksesuar,4,289.14,2025-06-13
203,Mehmet Demir,Monitor,Elektronik,3,1433.6,2025-03-31
204,Fatma Sahin,Monitor,Elektronik,2,1042.07,2025-01-14
205,Mehmet Demir,Monitor,Elektronik,5,1130.34,2025-02-14
206,Mustafa Yildiz,Telefon,Elektronik,5,653.12,2025-10-22
207,Zeynep Arslan,Telefon,Elektronik,4,294.39,2025-10-10
208,Ayse Kaya,Kulaklik,Aksesuar,1,1547.17,2025-06-05
209,Ali Celik,Kulaklik,Aksesuar,5,365.84,2025-05-09
210,Ayse Kaya,Klavye,Aksesuar,3,1288.36,2025-03-28
211,Ahmet Yilmaz,Kulaklik,Aksesuar,3,383.84,2025-01-15
212,Mustafa Yildiz,Telefon,Elektronik,2,138.65,2025-01-16
213,Elif Aydin,Sarj Aleti,Aksesuar,3,1783.54,2025-07-27
214,Elif Aydin,Mouse,Aksesuar,4,934.41,2025-06-24
215,Mustafa Yildiz,Kulaklik,Aksesuar,3,659.54,2025-07-09
216,Mehmet Demir,Telefon,Elektronik,2,672.28,2025-05-29
217,Zeynep Arslan,Tablet,Elektronik,2,1735.12,2025-06-10
218,Ali Celik,Klavye,Aksesuar,4,1538.09,2025-02-16
219,Ahmet Yilmaz,Tablet,Elektronik,3,1035.62,2025-09-11
220,Ali Celik,Sarj Aleti,Aksesuar,2,,2025-07-26
221,Ali Celik,Monitor,Elektronik,3,138.22,2025-09-16
222,Ayse Kaya,Sarj Aleti,Aksesuar,5,1540.59,2025-02-19
223,Mehmet Demir,Tablet,Elektronik,3,777.74,2025-09-18
224,Elif Aydin,Tablet,Elektronik,3,,2025-03-18
225,Ali Celik,Kulaklik,Aksesuar,5,689.53,2025-09-17
226,Zeynep Arslan,Sarj Aleti,Aksesuar,3,1432.04,2025-08-02
227,Elif Aydin,Mouse,Aksesuar,1,1603.67,2025-10-24
228,Mustafa Yildiz,Klavye,Aksesuar,5,1456.73,2025-05-05
229,Zeynep Arslan,Laptop,Elektronik,4,1166.51,2025-07-31
230,Mehmet Demir,Klavye,Aksesuar,1,850.24,2025-10-15
231,Elif Aydin,Monitor,Elektronik,2,1996.34,2025-06-25
232,Elif Aydin,Monitor,Elektronik,3,1367.94,2025-05-07
233,Ali Celik,Mouse,Aksesuar,3,1138.27,2025-09-08
234,Ali Celik,Monitor,Elektronik,3,985.62,2025-10-06
235,Ali Celik,Tablet,Elektronik,2,1796.73,2025-02-10
236,Fatma Sahin,Monitor,Elektronik,2,1851.82,2025-05-19
237,Ahmet Yilmaz,Mouse,Aksesuar,2,317.68,2025-09-29
238,Ayse Kaya,Klavye,Aksesuar,4,1293.99,2025-03-12
239,Elif Aydin,Laptop,Elektronik,4,1930.81,2025-05-28
240,Fatma Sahin,Monitor,Elektronik,5,606.56,2025-01-20
241,Mustafa Yildiz,Kulaklik,Aksesuar,1,864.88,2025-04-06
242,Zeynep Arslan,Mouse,Aksesuar,1,,2025-10-06
243,Fatma Sahin,Sarj Aleti,Aksesuar,3,1784.06,2025-06-19
244,Zeynep Arslan,Kulaklik,Aksesuar,1,1475.68,2025-10-18
245,Zeynep Arslan,Klavye,Aksesuar,4,392.22,2025-02-18
246,Ali Celik,Kulaklik,Aksesuar,1,1964.29,2025-08-17
247,Ali Celik,Mouse,Aksesuar,1,1910.37,2025-05-01
248,Ali Celik,Laptop,Elektronik,5,1352.18,2025-06-01
249,Elif Aydin,Monitor,Elektronik,2,1248.52,2025-07-11
250,Fatma Sahin,Tablet,Elektronik,2,1418.78,2025-02-11
251,Ahmet Yilmaz,Sarj Aleti,Aksesuar,1,1079.94,2025-09-16
252,Elif Aydin,Klavye,Aksesuar,5,1166.77,2025-04-16
253,Mehmet Demir,Sarj Aleti,Aksesuar,4,227.34,2025-08-22
254,Mustafa Yildiz,Laptop,Elektronik,1,1139.65,2025-01-02
255,Ahmet Yilmaz,Klavye,Aksesuar,1,,2025-02-05
256,Zeynep Arslan,Sarj Aleti,Aksesuar,4,111.88,2025-07-15
257,Mehmet Demir,Sarj Aleti,Aksesuar,5,1745.76,2025-06-28
258,Ahmet Yilmaz,Telefon,Elektronik,2,398.02,2025-06-02
259,Fatma Sahin,Sarj Aleti,Aksesuar,2,1363.32,2025-03-21
260,Mustafa Yildiz,Mouse,Aksesuar,1,417.54,2025-01-09
261,Ahmet Yilmaz,Klavye,Aksesuar,5,451.86,2025-01-23
262,Mehmet Demir,Tablet,Elektronik,1,905.98,2025-05-29
263,Zeynep Arslan,Klavye,Aksesuar,5,1640.78,2025-03-15
264,Mehmet Demir,Klavye,Aksesuar,5,856.44,2025-08-07
265,Zeynep Arslan,Sarj Aleti,Aksesuar,4,141.42,2025-07-29
266,Fatma Sahin,Kulaklik,Aksesuar,2,634.78,2025-03-15
267,Mehmet Demir,Sarj Aleti,Aksesuar,5,1833.75,2025-05-11
268,Ayse Kaya,Klavye,Aksesuar,3,694.01,2025-04-08
269,Fatma Sahin,Laptop,Elektronik,1,573.5,2025-10-28
270,Fatma Sahin,Klavye,Aksesuar,1,984.82,2025-03-02
271,Fatma Sahin,Sarj Aleti,Aksesuar,4,1833.16,2025-05-25
272,Elif Aydin,Tablet,Elektronik,3,959.19,2025-08-29
273,Fatma Sahin,Monitor,Elektronik,5,1832.94,2025-01-09
274,Mehmet Demir,Mouse,Aksesuar,3,1128.96,2025-04-28
275,Ali Celik,Tablet,Elektronik,3,1161.09,2025-09-08
276,Elif Aydin,Sarj Aleti,Aksesuar,2,948.62,2025-10-05
277,Ahmet Yilmaz,Laptop,Elektronik,1,1071.69,2025-04-29
278,Ahmet Yilmaz,Telefon,Elektronik,3,,2025-09-05
279,Ali Celik,Sarj Aleti,Aksesuar,1,80.68,2025-05-27
280,Ayse Kaya,Laptop,Elektronik,2,1029.32,2025-09-26
281,Ali Celik,Kulaklik,Aksesuar,3,519.89,2025-02-10
282,Ali Celik,Monitor,Elektronik,2,1920.63,2025-02-11
283,Ahmet Yilmaz,Laptop,Elektronik,1,232.33,2025-02-12
284,Ahmet Yilmaz,Sarj Aleti,Aksesuar,1,1698.39,2025-10-18
285,Ahmet Yilmaz,Sarj Aleti,Aksesuar,3,578.64,2025-06-11
286,Ayse Kaya,Laptop,Elektronik,4,1924.86,2025-10-16
287,Zeynep Arslan,Klavye,Aksesuar,5,1155.06,2025-03-13
288,Fatma Sahin,Telefon,Elektronik,4,1026.55,2025-06-24
289,Elif Aydin,Tablet,Elektronik,4,1939.4,2025-10-11
290,Ali Celik,Tablet,Elektronik,1,892.1,2025-02-07
291,Mustafa Yildiz,Telefon,Elektronik,2,572.55,2025-02-24
292,Ayse Kaya,Telefon,Elektronik,3,60.13,2025-04-06
293,Ayse Kaya,Tablet,Elektronik,1,925.25,2025-02-17
294,Fatma Sahin,Monitor,Elektronik,1,,2025-03-28
295,Ayse Kaya,Tablet,Elektronik,2,380.53,2025-05-22
296,Elif Aydin,Tablet,Elektronik,2,634.52,2025-04-11
297,Mustafa Yildiz,Sarj Aleti,Aksesuar,3,258.6,2025-06-18
298,Mehmet Demir,Sarj Aleti,Aksesuar,5,702.74,2025-04-13
299,Elif Aydin,Sarj Aleti,Aksesuar,3,662.66,2025-05-05
300,Fatma Sahin,Monitor,Elektronik,1,783.31,2025-10-07
301,Fatma Sahin,Kulaklik,Aksesuar,4,1379.34,2025-05-30
302,Mehmet Demir,Telefon,Elektronik,4,1646.98,2025-05-04
303,Elif Aydin,Mouse,Aksesuar,1,1334.39,2025-09-03
304,Ahmet Yilmaz,Tablet,Elektronik,4,1092.02,2025-07-04
305,Ahmet Yilmaz,Telefon,Elektronik,2,263.27,2025-07-24
306,Ali Celik,Monitor,Elektronik,-1,1933.15,2025-09-23
307,Mehmet Demir,Klavye,Aksesuar,5,919.27,2025-01-13
308,Mehmet Demir,Sarj Aleti,Aksesuar,1,253.87,2025-06-25
309,Elif Aydin,Sarj Aleti,Aksesuar,1,1579.33,2025-08-20
310,Zeynep Arslan,Monitor,Elektronik,1,,2025-03-26
311,Elif Aydin,Klavye,Aksesuar,4,1056.19,2025-07-27
312,Fatma Sahin,Kulaklik,Aksesuar,5,413.45,2025-08-08
313,Ayse Kaya,Tablet,Elektronik,1,58.68,2025-10-02
314,Zeynep Arslan,Kulaklik,Aksesuar,4,763.3,2025-07-20
315,Ayse Kaya,Telefon,Elektronik,3,728.45,2025-06-10
316,Mustafa Yildiz,Telefon,Elektronik,2,515.22,2025-03-12
317,Mehmet Demir,Tablet,Elektronik,2,874.93,2025-03-13
318,Ahmet Yilmaz,Kulaklik,Aksesuar,3,663.43,2025-04-10
319,Mustafa Yildiz,Tablet,Elektronik,4,1929.47,2025-08-16
320,,Sarj Aleti,Aksesuar,2,376.14,2025-04-26
321,Ayse Kaya,Mouse,Aksesuar,4,378.01,2025-05-18
322,Fatma Sahin,Monitor,Elektronik,4,1106.98,2025-02-22
323,Ayse Kaya,Klavye,Aksesuar,3,630.53,2025-03-02
324,Mustafa Yildiz,Klavye,Aksesuar,5,459.26,2025-03-13
325,Ali Celik,Klavye,Aksesuar,5,1636.38,2025-03-28
326,Ayse Kaya,Monitor,Elektronik,5,1959.05,2025-07-30
327,Fatma Sahin,Laptop,Elektronik,2,1985.35,2025-06-14
328,Ali Celik,Klavye,Aksesuar,5,1534.87,2025-07-12
329,Ali Celik,Sarj Aleti,Aksesuar,4,197.26,2025-07-08
330,Ayse Kaya,Sarj Aleti,Aksesuar,-1,1903.0,2025-08-23
331,Fatma Sahin,Monitor,Elektronik,4,1707.71,2025-06-15
332,Zeynep Arslan,Mouse,Aksesuar,4,708.62,2025-01-25
333,Mehmet Demir,Laptop,Elektronik,1,244.17,2025-01-01
334,Mehmet Demir,Tablet,Elektronik,3,444.52,2025-05-21
335,Ahmet Yilmaz,Telefon,Elektronik,2,1326.45,2025-06-06
336,Elif Aydin,Klavye,Aksesuar,2,887.0,2025-04-26
337,Mehmet Demir,Sarj Aleti,Aksesuar,4,68.11,2025-04-28
338,Ali Celik,Tablet,Elektronik,3,224.2,2025-03-10
339,Elif Aydin,Kulaklik,Aksesuar,2,183.4,2025-04-20
340,Ayse Kaya,Kulaklik,Aksesuar,2,1843.79,2025-03-13
341,Mehmet Demir,Telefon,Elektronik,3,1199.67,2025-02-13
342,Ali Celik,Klavye,Aksesuar,1,1129.12,2025-09-18
343,Elif Aydin,Klavye,Aksesuar,2,1508.3,2025-05-04
344,Zeynep Arslan,Sarj Aleti,Aksesuar,1,1294.26,2025-03-09
345,Elif Aydin,Tablet,Elektronik,2,1728.59,2025-02-07
346,Mustafa Yildiz,Laptop,Elektronik,1,,2025-09-14
347,Mehmet Demir,Tablet,Elektronik,5,875.97,2025-06-08
348,Zeynep Arslan,Telefon,Elektronik,5,1047.04,2025-02-03
349,Fatma Sahin,Mouse,Aksesuar,1,1412.42,2025-08-11
350,,Telefon,Elektronik,2,934.08,2025-03-12
351,Mehmet Demir,Laptop,Elektronik,3,369.47,2025-05-18
352,Ayse Kaya,Telefon,Elektronik,3,,2025-10-23
353,Mehmet Demir,Telefon,Elektronik,5,1017.49,2025-05-11
354,Ahmet Yilmaz,Telefon,Elektronik,5,1793.82,2025-01-07
355,Ahmet Yilmaz,Klavye,Aksesuar,2,139.66,2025-08-03
356,Ayse Kaya,Klavye,Aksesuar,3,677.51,2025-03-03
357,Ayse Kaya,Laptop,Elektronik,4,399.72,2025-05-25
358,Fatma Sahin,Mouse,Aksesuar,-1,688.24,2025-06-05
359,Fatma Sahin,Klavye,Aksesuar,2,954.66,2025-07-29
360,,Laptop,Elektronik,1,504.35,2025-07-12
361,Ahmet Yilmaz,Mouse,Aksesuar,4,252.7,2025-03-14
362,Mustafa Yildiz,Mouse,Aksesuar,5,231.4,2025-07-10
363,Mustafa Yildiz,Sarj Aleti,Aksesuar,2,1950.38,2025-10-18
364,Zeynep Arslan,Laptop,Elektronik,3,898.22,2025-07-21
365,Mehmet Demir,Monitor,Elektronik,2,670.21,2025-10-27
366,Ayse Kaya,Telefon,Elektronik,4,353.05,2025-04-17
367,Ali Celik,Sarj Aleti,Aksesuar,2,651.2,2025-01-21
368,Zeynep Arslan,Klavye,Aksesuar,2,1680.05,2025-01-26
369,Elif Aydin,Mouse,Aksesuar,4,557.33,2025-10-09
370,Ahmet Yilmaz,Klavye,Aksesuar,1,234.71,2025-04-24
371,Ali Celik,Kulaklik,Aksesuar,1,436.36,2025-02-08
372,Ayse Kaya,Laptop,Elektronik,2,1994.46,2025-06-19
373,Mustafa Yildiz,Telefon,Elektronik,5,133.26,2025-07-22
374,Mehmet Demir,Sarj Aleti,Aksesuar,2,107.49,2025-08-17
375,Elif Aydin,Kulaklik,Aksesuar,3,117.57,2025-10-09
376,Fatma Sahin,Sarj Aleti,Aksesuar,2,168.91,2025-10-06
377,Elif Aydin,Laptop,Elektronik,5,1979.34,2025-10-17
378,Ahmet Yilmaz,Monitor,Elektronik,2,807.34,2025-05-24
379,Fatma Sahin,Laptop,Elektronik,5,1626.88,2025-02-21
380,Fatma Sahin,Klavye,Aksesuar,1,1330.89,2025-07-18
